date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:47:14	17745/17745	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/library/javafx-8-tutorial/es/	C:/misWebs/javafx/javafx/code.makery.ch/library/javafx-8-tutorial/es/index.html	(from )
17:47:16	1476/1476	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2010%20Sep%202016%2015:47:10%20GMT	http://code.makery.ch/robots.txt		(from )
17:47:16	109195/109195	---M-Z	200	added ('OK')	text/css	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/theme/css/style.min.css	C:/misWebs/javafx/javafx/code.makery.ch/theme/css/style.min.css	(from http://code.makery.ch/library/javafx-8-tutorial/es/)
17:47:16	13159/13159	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/addressapp.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/addressapp.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/)
17:47:17	653/653	---M-Z	200	added ('OK')	text/css	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/theme/css/prettify.min.css	C:/misWebs/javafx/javafx/code.makery.ch/theme/css/prettify.min.css	(from http://code.makery.ch/library/javafx-8-tutorial/es/)
17:47:19	33714/33714	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/library/javafx-8-tutorial/es/part1/	C:/misWebs/javafx/javafx/code.makery.ch/library/javafx-8-tutorial/es/part1/index.html	(from http://code.makery.ch/library/javafx-8-tutorial/es/)
17:47:19	17310/17310	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/theme/js/prettify.min.js	C:/misWebs/javafx/javafx/code.makery.ch/theme/js/prettify.min.js	(from http://code.makery.ch/library/javafx-8-tutorial/es/)
17:47:19	31991/31991	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/library/javafx-8-tutorial/es/part2/	C:/misWebs/javafx/javafx/code.makery.ch/library/javafx-8-tutorial/es/part2/index.html	(from http://code.makery.ch/library/javafx-8-tutorial/es/)
17:47:21	43713/43713	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/library/javafx-8-tutorial/es/part3/	C:/misWebs/javafx/javafx/code.makery.ch/library/javafx-8-tutorial/es/part3/index.html	(from http://code.makery.ch/library/javafx-8-tutorial/es/)
17:47:21	29618/29618	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/library/javafx-8-tutorial/es/part4/	C:/misWebs/javafx/javafx/code.makery.ch/library/javafx-8-tutorial/es/part4/index.html	(from http://code.makery.ch/library/javafx-8-tutorial/es/)
17:47:21	27809/27809	---MC-	200	added ('OK')	text/javascript	date:Mon,%2015%20Aug%202016%2004:25:11%20GMT	http://www.google-analytics.com/analytics.js	C:/misWebs/javafx/javafx/www.google-analytics.com/analytics.js	(from http://code.makery.ch/library/javafx-8-tutorial/es/)
17:47:22	38055/38055	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/library/javafx-8-tutorial/es/part5/	C:/misWebs/javafx/javafx/code.makery.ch/library/javafx-8-tutorial/es/part5/index.html	(from http://code.makery.ch/library/javafx-8-tutorial/es/)
17:47:22	26874/26874	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/library/javafx-8-tutorial/es/part6/	C:/misWebs/javafx/javafx/code.makery.ch/library/javafx-8-tutorial/es/part6/index.html	(from http://code.makery.ch/library/javafx-8-tutorial/es/)
17:47:23	37/37	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/theme/js/bootstrap-init-tooltips.min.js	C:/misWebs/javafx/javafx/code.makery.ch/theme/js/bootstrap-init-tooltips.min.js	(from http://code.makery.ch/library/javafx-8-tutorial/es/)
17:47:23	29700/29700	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/library/javafx-8-tutorial/es/part7/	C:/misWebs/javafx/javafx/code.makery.ch/library/javafx-8-tutorial/es/part7/index.html	(from http://code.makery.ch/library/javafx-8-tutorial/es/)
17:47:23	31575/31575	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/theme/js/bootstrap.min.js	C:/misWebs/javafx/javafx/code.makery.ch/theme/js/bootstrap.min.js	(from http://code.makery.ch/library/javafx-8-tutorial/es/)
17:47:24	7824/7824	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part1/addressapp-part1.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part1/addressapp-part1.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part1/)
17:47:27	17678/17678	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part1/preferences-compliance.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part1/preferences-compliance.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part1/)
17:47:27	23342/23342	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part1/preferences-jdk.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part1/preferences-jdk.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part1/)
17:47:28	20795/20795	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part1/preferences-javafx.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part1/preferences-javafx.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part1/)
17:47:29	11881/11881	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part1/new-person-overview.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part1/new-person-overview.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part1/)
17:47:29	14895/14895	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part1/new-fxml-document.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part1/new-fxml-document.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part1/)
17:47:30	11384/11384	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part1/anchor-pane-size.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part1/anchor-pane-size.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part1/)
17:47:30	7491/7491	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part1/fit-to-parent.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part1/fit-to-parent.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part1/)
17:47:31	5381/5381	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part1/table-view-anchors.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part1/table-view-anchors.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part1/)
17:47:31	2576/2576	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part1/column-texts.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part1/column-texts.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part1/)
17:47:31	4305/4305	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part1/column-resize-policy.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part1/column-resize-policy.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part1/)
17:47:32	8002/8002	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part1/person-details-label.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part1/person-details-label.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part1/)
17:47:32	96381/96381	---MC-	200	added ('OK')	text/javascript	date:Fri,%2016%20Oct%202015%2018:27:31%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	C:/misWebs/javafx/javafx/ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	(from http://code.makery.ch/library/javafx-8-tutorial/es/)
17:47:33	1516/1516	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Sep%202016%2020:30:48%20GMT	http://code.makery.ch/assets/library/javafx-8-tutorial/part1/button-group.png	C:/misWebs/javafx/javafx/code.makery.ch/assets/library/javafx-8-tutorial/part1/button-group.png	(from http://code.makery.ch/library/javafx-8-tutorial/es/part1/)
